path,guid,existsNow,serializedOwnerCount,serializedOwners,exactTextReferrerCount,exactTextReferrers,deleteAuthorized
Assets/NTSD/Sprite/Character/chiyo/chiyo.bmp,01deb624048b8f440b2dc07cd568836c,True,0,,0,,False
Assets/NTSD/Sprite/Character/chiyo/chiyo2.bmp,608cfb8ca2297a843a2eba95e1707aed,True,0,,0,,False
Assets/NTSD/Sprite/Character/chiyo/chiyo_f.bmp,8c2b4fa08a5a5f146a709b4ffb92c3af,True,0,,0,,False
Assets/NTSD/Sprite/Character/chiyo/chiyo_s.bmp,3e326be25cbafd34ba32a090257aba46,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara/deidara_0.bmp,acf347cbd9fa6d74cb9e29fce033f4c0,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara/deidara_2.bmp,b678215ebd2c34b4fa018cf7eeefe228,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara/deidara_3.bmp,18f2f386f4ddd094ca2671263955998c,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara/deidara_f.bmp,2f0a589bf7c411d48a0ba2337098132e,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara/deidara_s.bmp,4a77c3ecba9c79548b66b652df5f1d44,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara_bird/deidara_3.bmp,22d417018c2deec4592ef95e7406cf13,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara_bird/deidara_4.bmp,05608122e73c02846991fa622663c158,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara_bird/deidara_bird_f.bmp,1327781eaa9dd374e9a0b2874e5d1b3c,True,0,,0,,False
Assets/NTSD/Sprite/Character/deidara_bird/deidara_s.bmp,6fcde3f6013dc7f4e8c075a20be9ee1e,True,0,,0,,False
Assets/NTSD/Sprite/Character/gaara/gaara.bmp,7c9f30eb6fc05a94384bf726fcf34ad1,True,0,,0,,False
Assets/NTSD/Sprite/Character/gaara/gaara_2.bmp,6d864a0aa5561c14388d462455f5d5ab,True,0,,0,,False
Assets/NTSD/Sprite/Character/gaara/gaara_f.bmp,1003b8e0879e4744c8a973a97f470e71,True,0,,0,,False
Assets/NTSD/Sprite/Character/gaara/gaara_s.bmp,adbcce4aa4c2d0f408363af265f846c2,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/hidan.bmp,46626468f7e51e44eb5f424856bdf8fc,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/hidan_2.bmp,6db8c81d8b686944b9421c55e5f61542,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/hidan_3.bmp,8e35a2ba22bf16b4c8e8bb5d1a56f41b,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/hidan_4.bmp,13406408970b9d547a51e9ba1d16f848,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/hidan_f.bmp,f8b403a7726fe8b489a968072c6d486c,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/hidan_s.bmp,46262a5a8be74c049874a91ac4f3821c,True,0,,0,,False
Assets/NTSD/Sprite/Character/hidan/slashing_hidan.bmp,ad1e405ae133d1c4a83ca73106edfc72,True,0,,0,,False
Assets/NTSD/Sprite/Character/Hsasori/Hsasori.bmp,c55d98e35674a1e4ba62ef67c8638edb,True,0,,0,,False
Assets/NTSD/Sprite/Character/Hsasori/Hsasori_2.bmp,ccc17404430dcbc40af9cc592c3d3854,True,0,,0,,False
Assets/NTSD/Sprite/Character/Hsasori/Hsasori_3.bmp,9af834f168746704fb3181bb737aab63,True,0,,0,,False
Assets/NTSD/Sprite/Character/Hsasori/Hsasori_4.bmp,780a7538040e0a74cbe1a6ccfc3d8098,True,0,,0,,False
