id	float_bits	strict_int	first_int	strict_valid
r00198	00000000	0	0	0
r00199	00000000	0	0	0
r00200	00000000	0	0	0
r00201	00000000	0	0	0
r00202	00000000	0	0	0
r00203	00000000	0	0	0
r00204	00000000	0	0	0
r00205	00000000	0	0	0
r00206	00000000	0	0	0
r00207	00000000	0	0	0
r00208	00000000	0	0	0
r00209	00000000	0	0	0
r00210	00000000	0	0	0
r00211	00000000	0	0	0
r00212	00000000	0	0	0
r00213	00000000	0	0	0
r00214	00000000	0	0	0
r00215	00000000	0	0	0
r00216	00000000	0	0	0
r00217	00000000	0	0	0
r00218	00000000	0	0	0
r00219	00000000	0	0	0
r00220	00000000	0	0	0
r00221	00000000	0	0	0
r00222	00000000	0	0	0
r00223	00000000	0	0	0
r00224	00000000	0	0	0
r00225	00000000	0	0	0
r00226	00000000	0	0	0
r00227	00000000	0	0	0
r00228	00000000	0	0	0
r00229	00000000	0	0	0
r00230	00000000	0	0	0
r00231	00000000	0	0	0
r00232	00000000	0	0	0
r00233	00000000	0	0	0
r00234	00000000	0	0	0
r00235	00000000	0	0	0
r00236	00000000	0	0	0
r00237	00000000	0	0	0
r00238	00000000	0	0	0
r00239	00000000	0	0	0
r00240	3F800000	1	1	1
r00241	3F800000	0	1	0
r00242	3F800000	0	1	0
r00243	00000000	0	1	0
r00244	00000000	0	1	0
r00245	00000000	0	1	0
r00246	00000000	0	1	0
r00247	3F800000	0	1	0
r00248	3F800000	0	1	0
r00249	00000000	0	1	0
r00250	3F800000	0	1	0
r00251	3F800000	0	1	0
r00252	3F800000	0	1	0
r00253	00000000	0	1	0
r00254	00000000	0	1	0
r00255	00000000	0	1	0
r00256	00000000	0	1	0
r00257	3F800000	0	1	0
r00258	3F800000	0	1	0
r00259	00000000	0	1	0
r00260	3F800000	0	1	0
r00261	3F800000	0	1	0
r00262	3F800000	0	1	0
r00263	00000000	0	1	0
r00264	00000000	0	1	0
r00265	00000000	0	1	0
r00266	00000000	0	1	0
r00267	3F800000	0	1	0
r00268	3F800000	0	1	0
r00269	00000000	0	1	0
r00270	3F800000	0	0	0
r00271	3F800000	0	0	0
r00272	3F800000	0	0	0
r00273	00000000	0	0	0
r00274	00000000	0	0	0
r00275	00000000	0	0	0
r00276	00000000	0	0	0
r00277	3F800000	0	0	0
r00278	3F800000	0	0	0
r00279	00000000	0	0	0
r00280	3F800000	0	0	0
r00281	3F800000	0	0	0
r00282	3F800000	0	0	0
r00283	00000000	0	0	0
r00284	00000000	0	0	0
r00285	00000000	0	0	0
r00286	00000000	0	0	0
r00287	3F800000	0	0	0
r00288	3F800000	0	0	0
r00289	00000000	0	0	0
r00290	3F800000	0	0	0
r00291	3F800000	0	0	0
r00292	3F800000	0	0	0
r00293	00000000	0	0	0
r00294	00000000	0	0	0
r00295	00000000	0	0	0
r00296	00000000	0	0	0
r00297	3F800000	0	0	0
r00298	3F800000	0	0	0
r00299	00000000	0	0	0
r00300	3F800000	0	0	0
r00301	3F800000	0	0	0
r00302	3F800000	0	0	0
r00303	00000000	0	0	0
r00304	00000000	0	0	0
r00305	00000000	0	0	0
r00306	00000000	0	0	0
r00307	3F800000	0	0	0
r00308	3F800000	0	0	0
r00309	00000000	0	0	0
r00310	00000000	0	0	0
r00311	00000000	0	0	0
r00312	00000000	0	0	0
r00313	00000000	0	0	0
r00314	00000000	0	0	0
r00315	00000000	0	0	0
r00316	00000000	0	0	0
r00317	00000000	0	0	0
r00318	00000000	0	0	0
r00319	00000000	0	0	0
r00320	C0A00000	-5	-5	1
r00321	C0A00000	0	-5	0
r00322	C0A00000	0	-5	0
r00323	00000000	0	-5	0
r00324	00000000	0	-5	0
r00325	00000000	0	-5	0
r00326	00000000	0	-5	0
r00327	C0A00000	0	-5	0
r00328	C0A00000	0	-5	0
r00329	00000000	0	-5	0
r00330	C0A00000	0	-5	0
r00331	C0A00000	0	-5	0
r00332	C0A00000	0	-5	0
r00333	00000000	0	-5	0
r00334	00000000	0	-5	0
r00335	00000000	0	-5	0
r00336	00000000	0	-5	0
r00337	C0A00000	0	-5	0
r00338	C0A00000	0	-5	0
r00339	00000000	0	-5	0
r00340	C0A00000	0	-5	0
r00341	C0A00000	0	-5	0
r00342	C0A00000	0	-5	0
r00343	00000000	0	-5	0
r00344	00000000	0	-5	0
r00345	00000000	0	-5	0
r00346	00000000	0	-5	0
r00347	C0A00000	0	-5	0
r00348	C0A00000	0	-5	0
r00349	00000000	0	-5	0
r00350	C0A00000	0	0	0
r00351	C0A00000	0	0	0
r00352	C0A00000	0	0	0
r00353	00000000	0	0	0
r00354	00000000	0	0	0
r00355	00000000	0	0	0
r00356	00000000	0	0	0
r00357	C0A00000	0	0	0
r00358	C0A00000	0	0	0
r00359	00000000	0	0	0
r00360	C0A00000	0	0	0
r00361	C0A00000	0	0	0
r00362	C0A00000	0	0	0
r00363	00000000	0	0	0
r00364	00000000	0	0	0
