path,category,exists,metaExists,guid,sha256,serializedReferrerCount,serializedReferrers,deleteAuthorized
Assets/NTSD/Sprite/Character/Zuozhu/sasuke_cs2.bmp,Character,True,True,ffbb9f58dc9916148822517210658845,59948653874FF915981EA143E943D147B5BC2F66309D4FC0B58C7678C51ADC88,0,,False
Assets/NTSD/Sprite/Character/Zuozhu/sasuke_cs2_2.bmp,Character,True,True,967d3ff353da76e4cbcb3ad44c14d91f,4C9F3CB9A23F673241EFFF67C859251AAA51E245BB95B4791B239CF39FEBDCA0,0,,False
Assets/NTSD/Sprite/Character/Zuozhu/sasuke_cs2_f.bmp,Character,True,True,7ac32cfe70b0a494db1673987af41502,CA93A5FE8C75165B38D99BB5BC6FF778408687B943A6C67E84447B7A0E174164,0,,False
Assets/NTSD/Sprite/Character/Zuozhu/sasuke_cs2_s.bmp,Character,True,True,2b21c30431e0f2d43a62d19cec5039da,5E1A02AFEFC98D934F821248E02CEAAA832800B771C9E0CA2AAE0009423CABC6,0,,False
Assets/NTSD/Sprite/Common/amaterasu.bmp,Common,True,True,67f11820cab84c843b622c33c8b88a83,2672E3E80B6EED67A008E7C5CFCEB5A34B094CFDF8F00F95F5A564B929AC5842,0,,False
Assets/NTSD/Sprite/Common/big_dog.bmp,Common,True,True,aa02e32cf0cc6264488599c877e4f11f,60C489EE73F07AFFD07A6EF58768255D9861C881BC3611E88E0BBF7C054C77F0,0,,False
Assets/NTSD/Sprite/Common/black.bmp,Common,True,True,6e0697987f3ec584aa91adf68d48aec1,B75A2C9FF71077AF645B853A46E6A470EC2C6813AC47539C556C1B3A14373CA8,0,,False
Assets/NTSD/Sprite/Common/cave.bmp,Common,True,True,f4afd488480937f40aaa2ad89dbc13c9,E672B335DAD31173FB8225DBBD8BC741FB5766233FFB72D68CD6FDF00F819164,0,,False
Assets/NTSD/Sprite/Common/charge.bmp,Common,True,True,0e065e7fef6c2d9479e6011b4232d252,1DBD346BE4A08EB1E9E260C995EA5837413BFB42A78AEE0CF82DAB9839B29849,0,,False
Assets/NTSD/Sprite/Common/charge2.bmp,Common,True,True,f470e24d34cdfb443b428a25d801c647,1EADF0783E03C375D43C6B2B77459F0538562C9D3830FA23F01A29DE6067A9FF,0,,False
Assets/NTSD/Sprite/Common/chidori.bmp,Common,True,True,5635d454a18d2024fa8b8332b2306adb,545F35638689DBFC7C84F5A7D9B633566E9BCE2A987FF96CB3FC6CB9329A059F,0,,False
Assets/NTSD/Sprite/Common/death.bmp,Common,True,True,f13041c104c5f794abfd25682beaf174,6A3C998048A82E4412B4895DCB6E125380A1AC946E408B475F3DC09E82DD9578,0,,False
Assets/NTSD/Sprite/Common/death2.bmp,Common,True,True,2be12b9c0e27b8d43a8cc2771b82c102,51E811151C3BBEA4DD220474AA8F5F7888CC3842EC43AD9CBD6B2A83A8BEB69B,0,,False
Assets/NTSD/Sprite/Common/death_2.bmp,Common,True,True,6405e1ca751288342902cfb299447d8c,72C2D898A05D8BABA779736386749412946CEA846C9AFB5F0DAF4C0FF8E34AD1,0,,False
Assets/NTSD/Sprite/Common/doggy.bmp,Common,True,True,b1fb097535a1be4459b3f3d63740fdd9,D55FCACF8D60BE3C81A4C039BD26427E749AB2D99100B39EB59C753E92B4F2D6,0,,False
Assets/NTSD/Sprite/Common/flash.bmp,Common,True,True,19ba5d4f2c6685347b92b8e028c04df8,96E64FBED77A43D4745485426E63D1ECD887F130CDC2338B6AFCD7446E3F2315,0,,False
Assets/NTSD/Sprite/Common/gray.bmp,Common,True,True,e29984d87baad3b4ca59ffdb84d5dd5c,904BD50AB3173F639AC6EF79A986D686BD6670FA18FA3FBD0050B0575290B581,0,,False
